Year,Carbohydrate,Fiber,Protein,Fat,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Cholesterol
1909,0.385030864,0.022376543,0.077932099,0.091820988,0.038580247,0.034722222,0.010030864,0.339506173
1910,0.386645963,0.022515528,0.076863354,0.090838509,0.038043478,0.034161491,0.00931677,0.341614907
1911,0.377880184,0.021505376,0.075268817,0.0906298,0.037634409,0.034562212,0.00921659,0.353302611
1912,0.385758998,0.021909233,0.076682316,0.089984351,0.037558685,0.034428795,0.009389671,0.34428795
1913,0.388318863,0.022099448,0.0765588,0.091554854,0.037884767,0.034727703,0.009471192,0.339384373
1914,0.385103011,0.021394612,0.075277338,0.093502377,0.038034865,0.035657686,0.010301109,0.340729002
1915,0.383942766,0.022257552,0.074721781,0.093004769,0.038155803,0.035771065,0.010333863,0.341812401
1916,0.379614767,0.021669342,0.074638844,0.093900482,0.038523274,0.03611557,0.010433387,0.345104334
1917,0.387838948,0.023007395,0.075595727,0.092851274,0.037797864,0.036154478,0.009860312,0.336894002
1918,0.377419355,0.021774194,0.075806452,0.097580645,0.039516129,0.037903226,0.011290323,0.338709677
1919,0.380952381,0.021428571,0.073809524,0.095238095,0.038888889,0.037301587,0.011111111,0.341269841
1920,0.374898126,0.021189894,0.074164629,0.093724531,0.039119804,0.035859821,0.010594947,0.350448248
1921,0.369294606,0.020746888,0.073029046,0.094605809,0.039834025,0.034854772,0.010788382,0.356846473
1922,0.377725857,0.020249221,0.07165109,0.09423676,0.039719626,0.035046729,0.010903427,0.35046729
1923,0.362662586,0.020657995,0.071920428,0.09716909,0.04055088,0.036725325,0.010711553,0.359602142
1924,0.366261398,0.019756839,0.071428571,0.097264438,0.041033435,0.036474164,0.010638298,0.357142857
1925,0.366186505,0.019711903,0.070507961,0.097801365,0.040940106,0.037149356,0.011372252,0.356330553
1926,0.366091523,0.019504876,0.069767442,0.096774194,0.040510128,0.036009002,0.011252813,0.360090023
1927,0.366017964,0.019461078,0.070359281,0.096556886,0.040419162,0.036676647,0.011227545,0.359281437
1928,0.371428571,0.019548872,0.069924812,0.096992481,0.040601504,0.036842105,0.011278195,0.353383459
1929,0.365558912,0.020392749,0.070241692,0.098942598,0.041540785,0.037009063,0.011329305,0.354984894
1930,0.370795107,0.019877676,0.069571865,0.098623853,0.041284404,0.036697248,0.01146789,0.351681957
